Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,21-250,DEN,@,NOP,W (+5),1,21:08,2,5,.400,1,2,.500,0,0,,1,6,7,2,0,0,4,4,5,0.6,+5
2,2,2016-10-29,21-253,DEN,,POR,L (-2),1,34:06,10,20,.500,1,5,.200,2,3,.667,6,11,17,2,4,1,1,5,23,23.2,-1
3,3,2016-10-31,21-255,DEN,@,TOR,L (-3),1,22:22,6,9,.667,0,1,.000,0,0,,2,2,4,1,0,0,4,4,12,5.2,-9
4,4,2016-11-03,21-258,DEN,@,MIN,W (+3),1,14:26,3,3,1.000,0,0,,2,4,.500,1,2,3,5,0,0,1,3,8,8.9,+7
5,5,2016-11-05,21-260,DEN,@,DET,L (-17),1,22:42,3,9,.333,0,0,,0,0,,2,4,6,0,1,1,1,3,6,3.0,-14
6,6,2016-11-06,21-261,DEN,@,BOS,W (+16),1,22:15,4,5,.800,0,1,.000,1,1,1.000,0,5,5,2,1,1,1,2,9,9.9,+6
7,7,2016-11-08,21-263,DEN,@,MEM,L (-1),1,28:22,4,10,.400,1,3,.333,3,4,.750,1,4,5,2,2,0,0,4,12,9.9,+5
8,8,2016-11-10,21-265,DEN,,GSW,L (-24),1,18:29,1,5,.200,0,3,.000,2,2,1.000,1,2,3,2,1,0,0,3,4,3.4,-21
9,9,2016-11-12,21-267,DEN,,DET,L (-11),0,20:27,2,7,.286,0,0,,2,2,1.000,2,1,3,1,1,0,1,1,6,3.9,-6
10,10,2016-11-13,21-268,DEN,@,POR,L (-7),0,25:56,0,3,.000,0,0,,0,0,,0,5,5,3,1,1,2,5,0,-0.8,+11
11,11,2016-11-16,21-271,DEN,,PHO,W (+16),0,19:19,3,4,.750,0,0,,4,5,.800,0,2,2,2,0,0,1,3,10,7.8,-1
