Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
21,,2015-12-05,20-289,DEN,@,PHI,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,20,2015-12-08,20-292,DEN,,ORL,L (-11),0,17:04,.333,.333,5.2,18.0,11.1,12.6,0.0,0.0,0.0,15.4,79,91,2.5,-5.1
23,21,2015-12-11,20-295,DEN,,MIN,W (+3),0,24:31,.703,.550,15.1,13.0,13.9,31.8,2.1,0.0,12.9,29.8,139,106,16.8,11.8
24,22,2015-12-14,20-298,DEN,,HOU,W (+6),0,22:05,1.042,1.000,0.0,36.2,19.5,6.1,2.3,0.0,18.8,10.4,167,112,10.5,4.7
25,23,2015-12-15,20-299,DEN,@,MIN,W (+12),0,20:33,.750,.750,15.1,6.0,10.0,13.7,5.4,7.0,33.3,14.2,118,106,7.7,4.2
26,24,2015-12-18,20-302,DEN,@,UTA,L (-9),0,21:01,.458,.200,14.0,47.0,27.5,0.0,2.6,0.0,20.7,21.2,93,105,5.5,-6.2
27,25,2015-12-20,20-304,DEN,,NOP,L (-5),0,22:53,.732,.750,5.0,12.7,8.4,12.9,0.0,3.9,0.0,16.8,159,138,12.0,2.1
28,26,2015-12-22,20-306,DEN,,LAL,L (-4),0,29:59,.778,.714,22.9,15.2,19.1,24.3,0.0,0.0,23.7,18.3,140,120,17.2,6.2
29,27,2015-12-23,20-307,DEN,@,PHO,W (+8),0,21:32,.825,.786,23.7,18.2,20.9,14.4,2.3,0.0,20.2,19.4,144,97,14.0,8.8
30,28,2015-12-26,20-310,DEN,@,SAS,L (-15),0,26:09,.553,.553,23.5,9.7,16.7,46.7,2.0,2.6,13.1,40.5,106,111,17.0,12.9
31,29,2015-12-27,20-311,DEN,@,OKC,L (-10),0,17:21,.500,.500,5.9,16.8,10.4,14.7,3.0,0.0,22.2,22.5,95,129,3.4,-6.0
32,30,2015-12-29,20-313,DEN,,CLE,L (-6),0,22:25,.406,.364,9.1,21.8,15.6,7.5,2.2,3.3,14.0,27.4,82,90,4.4,-4.9
33,31,2015-12-30,20-314,DEN,@,POR,L (-7),0,18:22,.644,.500,16.7,17.8,17.2,9.0,0.0,9.5,20.5,23.3,120,114,10.1,2.5
34,32,2016-01-02,20-317,DEN,@,GSW,L (-3),1,5:24,,,0.0,26.5,9.9,22.3,0.0,0.0,100.0,15.3,19,112,-1.8,-25.0
35,33,2016-01-03,20-318,DEN,,POR,L (-6),1,21:54,.514,.429,17.9,39.9,26.7,16.0,4.8,4.0,18.6,21.6,108,109,9.6,0.5
36,34,2016-01-06,20-321,DEN,@,MIN,W (+4),1,25:45,.400,.400,8.3,13.6,10.8,22.1,0.0,0.0,28.6,13.1,81,96,3.3,-4.6
37,35,2016-01-08,20-323,DEN,@,MEM,L (-7),1,18:31,1.125,1.125,15.2,10.2,12.7,12.0,0.0,0.0,20.0,11.5,165,106,9.4,10.3
38,36,2016-01-10,20-325,DEN,,CHO,W (+3),1,23:08,.500,.500,0.0,32.3,17.3,67.1,0.0,4.4,20.0,10.4,132,98,9.7,11.7
39,37,2016-01-13,20-328,DEN,,GSW,W (+2),1,15:45,.500,.500,20.3,28.3,24.2,21.9,9.1,0.0,14.3,18.3,112,91,8.1,7.8
40,38,2016-01-15,20-330,DEN,,MIA,L (-3),0,17:40,.605,.571,13.9,27.2,20.6,64.3,0.0,3.9,11.8,22.4,127,103,10.7,13.7
41,39,2016-01-17,20-332,DEN,,IND,W (+3),1,24:14,.660,.591,9.7,0.0,5.3,17.4,7.8,0.0,6.8,23.3,147,116,18.0,11.9
42,40,2016-01-19,20-334,DEN,,OKC,L (-6),1,19:09,.615,.500,5.2,9.6,7.5,8.4,2.4,0.0,17.0,12.7,115,107,5.2,-0.1
43,41,2016-01-21,20-336,DEN,,MEM,L (-1),1,13:43,.865,.667,8.1,10.3,9.1,24.1,7.8,0.0,0.0,17.9,192,100,10.9,18.8
44,42,2016-01-23,20-338,DEN,,DET,W (+3),1,31:50,.715,.682,3.5,15.1,9.1,17.8,3.2,8.2,0.0,18.1,147,102,19.0,10.5
45,43,2016-01-25,20-340,DEN,,ATL,L (-14),1,18:15,.778,.714,17.9,44.9,30.9,39.8,5.3,4.5,0.0,22.0,173,104,19.9,25.6
46,44,2016-01-27,20-342,DEN,@,BOS,L (-8),1,19:12,.218,.167,15.6,18.9,17.3,29.9,2.5,3.7,30.4,20.9,65,103,2.8,-4.7
47,45,2016-01-28,20-343,DEN,@,WAS,W (+4),1,25:28,.563,.583,26.2,21.4,23.6,20.3,1.9,3.1,0.0,22.7,134,110,15.4,4.5
48,46,2016-01-30,20-345,DEN,@,IND,L (-4),1,35:18,.518,.500,10.5,23.6,17.6,10.2,7.1,0.0,16.3,23.7,95,90,14.6,4.5
49,47,2016-02-01,20-347,DEN,,TOR,W (+19),1,29:57,.683,.694,14.6,34.6,26.7,24.9,0.0,3.0,9.2,32.1,130,91,24.1,12.2
