"","g","year","month","age","location","opp","minutes","seconds","result","fg","fga","fg_percent","three_pts","three_pa","three_pts_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","gm_sc","pm","ts_percent","efg_percent","orb_percent","drb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","ortg","drtg","bpm"
"331",23,2019,12,24,"Home","POR",31,1,"W",7,14,0.5,2,5,0.4,4,6,0.667,4,7,11,6,0,0,1,2,20,19.5,3,0.601,0.571,14.4,27.1,20.5,29.8,0,0,5.7,25.7,144,113,9.3
"332",24,2019,12,24,"Home","OKC",34,53,"W",11,14,0.786,3,6,0.5,3,4,0.75,1,13,14,12,1,0,3,2,28,32.4,15,0.888,0.893,3.4,43.6,23.8,59.3,1.4,0,16,23.4,155,100,25.7
"333",25,2019,12,24,"Home","NYK",35,48,"W",10,22,0.455,2,5,0.4,3,4,0.75,3,7,10,5,1,1,2,1,25,20.2,4,0.526,0.5,8,20.9,14.1,21.9,1.5,2.2,7.8,31,116,111,5.4
"334",26,2019,12,24,"Home","ORL",30,31,"W",7,14,0.5,2,4,0.5,2,2,1,3,6,9,12,1,1,4,2,18,20.2,9,0.605,0.571,11.5,20.5,16.3,65.1,1.6,2.7,21.2,26.5,126,105,14.4
"335",27,2019,12,24,"Home","MIN",32,44,"W",10,16,0.625,2,4,0.5,0,0,NA,3,7,10,10,0,2,2,4,22,23.8,12,0.688,0.688,11,20.5,16.3,50,0,6.5,11.1,24.2,141,104,15.6
"336",28,2019,12,24,"Away","LAL",27,23,"W",5,8,0.625,1,1,1,7,7,1,3,3,6,5,1,1,1,3,18,20.4,12,0.812,0.688,12,11.7,11.8,24.2,1.9,3.2,8.3,18.7,173,113,12.8
"337",29,2019,12,24,"Away","PHO",30,53,"W",6,13,0.462,4,7,0.571,6,6,1,1,11,12,10,1,0,2,4,22,23.7,25,0.703,0.615,4.4,40.7,24.2,46.2,1.6,0,11.3,26,145,107,14.6
"338",30,2019,12,24,"Home","NOP",30,55,"L",8,20,0.4,2,5,0.4,5,6,0.833,4,6,10,4,2,0,5,3,23,15,-13,0.508,0.45,12.2,22.7,16.9,25.3,3.2,0,18.1,38.3,96,112,1.8
"339",31,2019,12,24,"Home","MEM",32,57,"W",12,19,0.632,2,5,0.4,5,7,0.714,2,8,10,10,1,0,1,6,31,30.1,23,0.702,0.684,6.6,26.5,16.6,52.9,1.4,0,4.3,29.3,148,108,18.6
"340",32,2019,12,24,"Home","SAC",26,30,"W",7,8,0.875,0,0,NA,3,4,0.75,4,4,8,4,1,0,4,3,17,16.4,8,0.871,0.875,20.1,20.1,20.1,24.7,1.9,0,29.1,23.4,134,122,6.6
"341",33,2019,12,24,"Away","HOU",31,59,"L",10,17,0.588,0,1,0,1,1,1,2,6,8,4,0,0,6,2,21,12.3,-5,0.602,0.588,6.8,23.7,14.6,20,0,0,25.6,30.1,97,133,-3.7
"342",34,2020,1,24,"Away","IND",24,11,"W",7,15,0.467,0,3,0,8,8,1,3,4,7,0,0,0,2,5,22,13.6,-9,0.594,0.467,14.9,19.4,17.2,0,0,0,9.7,37.4,125,129,-5.9
"343",35,2020,1,24,"Away","WAS",30,20,"L",4,10,0.4,1,3,0.333,5,7,0.714,2,8,10,4,1,0,2,0,14,13.4,0,0.535,0.45,7.2,33.3,19.3,18.8,1.6,0,13.3,20.9,111,124,1.6
"344",36,2020,1,24,"Away","ATL",36,50,"W",16,25,0.64,4,8,0.5,11,16,0.688,4,4,8,5,2,1,0,3,47,42.9,0,0.733,0.72,14.1,13.7,13.9,24.9,2.7,3.4,0,38.7,155,116,24.7
"345",37,2020,1,24,"Away","DAL",31,15,"W",12,20,0.6,4,6,0.667,5,8,0.625,2,4,6,7,1,1,3,1,33,28.4,-3,0.702,0.7,7.5,17.6,12.1,47.6,1.6,3.7,11.3,38.5,130,113,21.2
"346",38,2020,1,24,"Home","CLE",33,35,"L",8,12,0.667,2,5,0.4,1,1,1,3,9,12,5,0,0,1,2,19,20.3,-2,0.764,0.75,7.9,29.9,17.7,24.2,0,0,7.4,17.8,150,118,6.8
"347",39,2020,1,24,"Home","LAC",31,24,"W",6,14,0.429,3,4,0.75,5,6,0.833,2,13,15,6,1,0,2,5,20,18.7,5,0.601,0.536,7.5,44.2,26.7,33,1.6,0,10.7,26.8,125,101,9.2
"348",40,2020,1,24,"Home","CHO",29,2,"W",5,9,0.556,0,1,0,2,2,1,1,7,8,8,1,2,4,3,12,13.3,3,0.607,0.556,4.6,25.2,16.1,44.5,1.8,7.2,28.8,22.7,105,87,6
"349",41,2020,1,24,"Away","GSW",43,48,"W",10,20,0.5,0,3,0,3,3,1,2,10,12,8,0,2,9,4,23,13.8,18,0.539,0.5,5.1,23.7,14.8,27.7,0,4.8,29.7,27.9,92,117,-6.8
"350",42,2020,1,24,"Home","IND",31,44,"L",10,16,0.625,2,4,0.5,8,12,0.667,1,9,10,4,3,0,1,4,30,27.8,-2,0.705,0.688,3.9,31.7,18.4,23.4,4.8,0,4.5,30.3,145,111,18.8
"351",43,2020,1,24,"Away","MIN",34,16,"W",7,15,0.467,0,3,0,3,4,0.75,5,8,13,5,1,0,5,4,17,12.7,-6,0.507,0.467,15.9,22,19.2,21.1,1.5,0,23,28.2,99,106,-3.2
"352",44,2020,1,24,"Away","HOU",34,8,"L",8,19,0.421,0,1,0,3,6,0.5,4,8,12,10,1,1,6,2,19,14.8,-9,0.439,0.421,11.7,25,18.1,45.7,1.4,2.3,21.7,34.2,92,120,-0.8
"353",45,2020,1,24,"Away","NOP",35,29,"W",9,20,0.45,1,6,0.167,8,8,1,7,5,12,7,4,1,2,3,27,29.4,7,0.574,0.475,16.6,15.4,16.1,34,5.6,2.5,7.8,27.4,138,103,16
"354",46,2020,1,24,"Home","HOU",38,26,"W",9,18,0.5,0,2,0,6,7,0.857,2,10,12,11,2,0,6,4,24,21.1,0,0.569,0.5,6.2,27.2,17.4,41.9,2.5,0,22.2,29.2,110,105,4.4
"355",47,2020,1,24,"Away","MEM",38,43,"L",8,16,0.5,3,6,0.5,6,6,1,3,10,13,5,0,1,8,3,25,17.1,-9,0.671,0.594,7.7,33.5,19,28.1,0,1.9,30,29.2,102,108,1.9
"356",48,2020,1,24,"Home","UTA",34,44,"W",11,19,0.579,1,2,0.5,5,6,0.833,0,4,4,10,3,0,3,4,28,25.3,-4,0.647,0.605,0,13.8,7.1,55.7,4.4,0,12.2,33,126,102,15.4
"357",49,2020,1,24,"Away","MIL",33,16,"W",7,17,0.412,1,3,0.333,0,0,NA,0,10,10,9,1,0,3,4,15,11.6,-9,0.441,0.441,0,28.9,15,34.3,1.3,0,15,24.9,97,106,-2.9
"358",50,2020,2,24,"Away","DET",39,45,"L",16,23,0.696,1,3,0.333,6,7,0.857,0,10,10,11,3,2,2,4,39,40.4,13,0.748,0.717,0,30.3,14.8,55,4,4.2,7.1,32.6,151,116,22.3
"359",51,2020,2,24,"Home","POR",30,43,"W",11,17,0.647,3,5,0.6,4,4,1,4,9,13,9,2,3,4,1,29,33,23,0.773,0.735,16,29.9,23.6,48.8,3.2,7.8,17.6,31.2,145,89,26.1
"360",52,2020,2,24,"Away","UTA",39,46,"W",14,24,0.583,0,2,0,2,4,0.5,6,15,21,10,2,0,1,2,30,33.9,10,0.582,0.583,13.9,39.4,25.9,54.6,2.5,0,3.7,29.7,132,94,19.4
"361",53,2020,2,24,"Away","PHO",33,56,"W",9,19,0.474,0,3,0,5,5,1,4,5,9,6,1,3,6,3,23,17.7,3,0.542,0.474,14.9,16.4,15.7,26.3,1.5,7.7,22.1,36.6,104,109,0.2
"362",54,2020,2,24,"Home","SAS",37,39,"W",6,8,0.75,0,1,0,7,8,0.875,3,5,8,13,0,1,5,4,19,22.2,4,0.825,0.75,10.6,17.2,14,44.4,0,2.4,30.3,21,148,134,4.7
"363",55,2020,2,24,"Home","LAL",37,19,"L",9,18,0.5,2,3,0.667,2,2,1,1,10,11,6,3,1,3,5,22,19.6,-10,0.583,0.556,3.4,29,17.2,27.3,4.1,2.4,13.7,28.9,105,105,5.9
"364",56,2020,2,25,"Away","OKC",33,59,"L",12,15,0.8,1,2,0.5,7,7,1,1,6,7,5,1,1,2,1,32,31.6,-2,0.885,0.833,3.7,18.8,11.9,35.2,1.5,2.3,10,26.7,164,116,21.5
"365",57,2020,2,25,"Home","MIN",30,57,"W",11,14,0.786,0,1,0,2,3,0.667,1,6,7,6,2,2,3,4,24,23.7,18,0.783,0.786,4.6,22.2,14.3,25.9,3,6.2,16.4,25.7,137,105,10.5
"366",58,2020,2,25,"Home","DET",27,59,"W",5,8,0.625,1,1,1,5,5,1,2,3,5,4,4,0,5,4,16,14.9,-3,0.784,0.688,11.4,11.7,11.6,19.4,7.5,0,32.9,25.1,116,97,4.9
"367",59,2020,2,25,"Away","LAC",25,9,"L",9,13,0.692,0,2,0,3,4,0.75,2,7,9,2,1,0,3,1,21,17.6,-15,0.711,0.692,8,36.1,20.2,16,2,0,16.9,30.3,122,134,7.6
"368",60,2020,3,25,"Home","TOR",35,4,"W",8,11,0.727,0,0,NA,7,9,0.778,4,14,18,11,1,0,2,2,23,30.6,18,0.769,0.727,15.6,45.6,32,41.8,1.3,0,11.8,20.7,164,110,15.1
"369",61,2020,3,25,"Home","GSW",32,19,"L",7,15,0.467,0,1,0,2,2,1,4,9,13,7,1,2,5,2,16,15.3,-10,0.504,0.467,12.1,34.3,21.9,36.3,1.6,7.2,23.9,27.3,99,116,3.9
"370",62,2020,3,25,"Away","CHO",30,30,"W",5,10,0.5,0,2,0,4,4,1,3,8,11,8,1,1,6,5,14,12.8,2,0.595,0.5,12.4,37,24,34.8,1.8,3.6,33.8,26.9,105,119,-1.2
"371",63,2020,3,25,"Away","CLE",32,18,"L",4,11,0.364,0,3,0,0,1,0,2,6,8,8,1,0,4,3,8,6.1,0,0.35,0.364,7.4,27.9,16.5,32.1,1.6,0,25.9,21.7,85,113,-7.2
"372",64,2020,3,25,"Home","MIL",29,41,"W",4,13,0.308,1,5,0.2,1,2,0.5,0,9,9,7,1,0,2,3,10,7.5,6,0.36,0.346,0,27.5,15.2,32.8,1.6,0,12.6,23.1,84,92,-3.7
"373",65,2020,3,25,"Away","DAL",33,43,"L",7,10,0.7,0,2,0,0,0,NA,2,11,13,8,0,0,5,3,14,13.9,5,0.7,0.7,6.8,31.3,20.1,39.2,0,0,33.3,21,112,114,2
"374",66,2020,8,25,"Home","MIA",34,7,"L",7,16,0.438,1,5,0.2,4,6,0.667,0,7,7,6,1,1,3,3,19,13.6,-10,0.51,0.469,0,31.8,13,29,1.4,3.3,13.9,25.7,101,124,2.9
"375",67,2020,8,25,"Away","OKC",39,9,"W",10,21,0.476,0,5,0,10,11,0.909,2,10,12,10,2,0,4,4,30,26.7,9,0.58,0.476,6.3,30.1,18.5,47.6,2.6,0,13.4,34.8,118,104,10.7
"376",68,2020,8,25,"Away","SAS",31,52,"W",10,17,0.588,3,5,0.6,2,2,1,3,1,4,11,1,0,5,4,25,21.6,8,0.699,0.676,11.6,3.6,7.4,47.4,1.5,0,21.9,30.2,133,132,8.5
"377",69,2020,8,25,"Home","POR",23,42,"L",3,8,0.375,0,2,0,2,2,1,3,2,5,13,0,0,5,2,8,9.6,-1,0.45,0.375,16.4,8.8,12.2,69.4,0,0,36,26.2,110,139,2.1
"378",70,2020,8,25,"Home","UTA",41,40,"W",11,21,0.524,2,6,0.333,6,6,1,2,9,11,7,3,0,4,5,30,25.7,9,0.635,0.571,5.8,22.8,14.9,27.3,3.6,0,14.5,29.1,121,106,8.8
"379",71,2020,8,25,"Away","LAL",25,31,"L",4,7,0.571,2,2,1,2,2,1,0,1,1,4,1,0,1,3,12,10.6,-5,0.761,0.714,0,4.8,2.8,20.1,2.1,0,11.3,16.5,155,140,3.4
"380",72,2020,8,25,"Home","LAC",28,28,"L",7,11,0.636,1,4,0.25,2,4,0.5,1,6,7,13,0,0,1,1,17,21.5,5,0.666,0.682,3.9,25.9,14.4,70.3,0,0,7.3,21.6,150,132,17.4
"381",73,2020,8,25,"Away","TOR",10,12,"L",1,1,1,0,0,NA,0,0,NA,0,1,1,2,0,0,1,0,2,2.4,-6,1,1,0,10.5,5.1,30.1,0,0,50,8.4,116,124,-6
"382",1,2020,12,25,"Home","SAC",41,50,"L",11,18,0.611,1,2,0.5,6,9,0.667,3,12,15,14,0,2,6,3,29,29.3,5,0.66,0.639,8.3,28.2,19,53.6,0,3.6,21.5,28.7,121,110,12.3
"383",2,2020,12,25,"Home","LAC",38,29,"L",7,13,0.538,1,4,0.25,9,11,0.818,3,6,9,10,1,0,5,2,24,23,-20,0.673,0.577,9.6,24.1,16,44.1,1.3,0,21.9,26.5,126,130,9.2
"384",3,2020,12,25,"Home","HOU",34,7,"W",8,11,0.727,1,1,1,2,3,0.667,4,8,12,18,3,1,3,2,19,31.8,20,0.771,0.773,12.8,24.5,18.8,72.9,4.1,3,19.6,18.7,159,100,23.4
"385",4,2020,12,25,"Away","SAC",38,33,"L",9,14,0.643,1,3,0.333,7,7,1,1,9,10,12,2,0,10,4,26,22,1,0.761,0.679,3.9,25.5,16.4,45.6,2.5,0,36.9,31,112,122,4.1
"386",5,2021,1,25,"Home","PHO",29,31,"L",7,13,0.538,3,5,0.6,0,0,NA,3,6,9,11,1,0,1,5,17,20.3,1,0.654,0.654,13.2,25.7,19.5,64.8,1.8,0,7.1,21.9,147,112,19
"387",6,2021,1,25,"Away","MIN",31,42,"W",8,12,0.667,0,1,0,3,3,1,3,9,12,12,0,0,7,5,19,18,27,0.713,0.667,11.4,34.9,23,55.3,0,0,34.4,26.5,120,112,3.4
"388",7,2021,1,25,"Home","MIN",36,34,"W",12,20,0.6,1,1,1,10,12,0.833,5,10,15,6,3,1,4,5,35,33.4,13,0.692,0.625,15.6,31.3,23.4,31.2,3.8,2.3,13.7,34.1,134,104,13.9
"389",8,2021,1,25,"Home","DAL",41,13,"L",14,31,0.452,4,10,0.4,6,10,0.6,1,10,11,4,2,0,3,4,38,24.2,-6,0.537,0.516,2.8,28.6,15.5,20.6,2.4,0,7.8,41.4,105,113,6.7
"390",9,2021,1,25,"Away","PHI",29,2,"W",6,8,0.75,0,0,NA,3,3,1,1,8,9,12,0,0,4,2,15,18.5,24,0.805,0.75,3.8,26.5,16,56.6,0,0,30,19.4,138,105,10.7
"391",10,2021,1,25,"Away","NYK",30,4,"W",9,15,0.6,1,3,0.333,3,3,1,3,7,10,5,1,1,2,1,22,22.1,8,0.674,0.633,13.3,26,20.2,26.1,1.7,3,10.9,28.9,138,95,12.3
"392",11,2021,1,25,"Away","BRK",34,20,"L",8,17,0.471,1,4,0.25,6,6,1,1,7,8,11,7,1,1,2,23,30.7,-11,0.586,0.5,3.3,31.6,15.3,46.9,10.2,3,4.8,26.7,140,107,20.2
"393",12,2021,1,25,"Home","GSW",35,54,"W",8,16,0.5,0,4,0,7,7,1,1,13,14,10,3,0,3,4,23,25,10,0.603,0.5,2.8,38.6,20.1,44.1,3.9,0,13.6,25.7,123,95,10.8
"394",13,2021,1,25,"Home","UTA",39,50,"L",14,23,0.609,3,6,0.5,4,4,1,8,6,14,9,2,1,6,4,35,33.3,6,0.707,0.674,18.5,20.1,19.2,46.9,2.7,3.1,19.5,32.1,133,117,20.1
"395",14,2021,1,25,"Home","OKC",28,24,"W",12,21,0.571,0,4,0,3,3,1,5,7,12,6,1,1,1,2,27,26.8,12,0.605,0.571,16.9,24.1,20.5,39.4,1.6,3.9,4.3,31.5,139,95,16.4
"396",15,2021,1,25,"Away","PHO",39,42,"W",15,27,0.556,1,3,0.333,0,1,0,6,4,10,8,3,0,3,4,31,27.1,-13,0.565,0.574,17.4,12.7,15.2,32.4,3.8,0,9.9,33.8,117,116,8.6
"397",16,2021,1,25,"Away","PHO",42,0,"W",9,21,0.429,0,0,NA,11,14,0.786,7,15,22,6,1,0,6,3,29,24.1,8,0.534,0.429,17.6,34.5,26.4,30.1,1.2,0,18.1,36,107,97,6.9
"398",17,2021,1,25,"Away","DAL",33,55,"W",8,13,0.615,0,2,0,4,4,1,3,7,10,4,2,1,6,2,20,17,-10,0.678,0.615,10.6,23,17.1,19.7,3,2.7,28.9,27.4,110,115,0.8
"399",18,2021,1,25,"Away","MIA",34,6,"W",9,14,0.643,1,5,0.2,2,2,1,2,9,11,3,0,1,1,2,21,19.9,16,0.706,0.679,6.4,29.5,17.8,14.4,0,4,6.3,20.4,141,91,6.5
"400",19,2021,1,25,"Away","SAS",38,43,"L",14,24,0.583,5,11,0.455,2,4,0.5,1,9,10,5,1,1,4,3,35,26.4,-9,0.679,0.688,3.2,28.6,15.9,26.2,1.3,2.1,13.4,36.2,119,124,7.3
"401",20,2021,1,25,"Home","UTA",37,20,"W",17,26,0.654,4,4,1,9,10,0.9,3,9,12,5,2,1,3,2,47,42.4,14,0.773,0.731,11,27.6,20,25.6,2.7,4.6,9,41.5,148,117,20.9
"402",21,2021,2,25,"Away","LAL",34,56,"L",6,16,0.375,0,0,NA,1,2,0.5,3,6,9,6,1,0,3,4,13,8.3,-8,0.385,0.375,8.6,24.2,15.1,29.7,1.4,0,15.1,24,89,120,-1.8
"403",22,2021,2,25,"Away","SAC",41,24,"L",20,33,0.606,3,6,0.5,7,7,1,1,7,8,12,1,3,1,2,50,47.4,2,0.693,0.652,2.4,18.4,10.1,63.8,1.2,6.2,2.7,38.3,149,120,27.2
"404",23,2021,2,25,"Home","MIL",39,6,"L",13,26,0.5,3,6,0.5,6,6,1,3,9,12,6,0,0,0,3,35,29.8,-2,0.611,0.558,7.8,26.9,16.7,29.4,0,0,0,32,136,129,11.6
"405",24,2021,2,25,"Home","CLE",29,50,"W",5,7,0.714,0,0,NA,2,2,1,1,5,6,12,2,0,2,3,12,18.5,32,0.761,0.714,4.6,15.2,11,44.9,3.2,0,20.2,15.1,158,95,11.6
"406",25,2021,2,25,"Home","OKC",36,37,"W",9,16,0.563,2,7,0.286,2,2,1,3,10,13,9,1,1,2,4,22,23.9,5,0.652,0.625,8.7,28.5,18.7,41.8,1.4,2.3,10.6,23.7,132,95,13.9
"407",26,2021,2,25,"Home","LAL",34,46,"W",8,17,0.471,1,5,0.2,6,6,1,4,12,16,10,0,1,3,2,23,24.6,16,0.586,0.5,11.8,36,23.8,49.4,0,2.3,13.3,28.7,130,104,10.6
"408",27,2021,2,25,"Away","BOS",37,33,"L",16,23,0.696,3,5,0.6,8,8,1,3,3,6,5,2,1,3,3,43,38.3,2,0.811,0.761,8.7,10.4,9.5,36.4,2.7,3.3,10.2,35.1,149,117,22.3
"409",28,2021,2,25,"Away","WAS",36,53,"L",12,21,0.571,3,5,0.6,6,6,1,1,6,7,9,2,0,3,4,33,29.3,5,0.698,0.643,2.8,19,10.5,36.2,2.6,0,11.3,31.3,140,126,10.7
"410",29,2021,2,26,"Away","CLE",32,48,"W",5,8,0.625,1,2,0.5,5,5,1,2,10,12,10,4,1,3,2,16,24.7,13,0.784,0.688,10.8,33.3,24.7,37.8,6.2,2.8,22.7,18.8,152,92,18.2
"411",30,2021,2,26,"Away","ATL",36,42,"L",5,15,0.333,2,5,0.4,3,4,0.75,2,8,10,6,3,0,4,5,15,11.1,-7,0.447,0.4,7.1,26.2,17,21.5,4,0,19.3,26.1,91,120,-3.7
"412",31,2021,2,26,"Home","POR",37,44,"W",17,32,0.531,3,6,0.5,4,4,1,3,2,5,5,1,0,0,1,41,32.2,0,0.607,0.578,7.6,6.9,7.3,34.6,1.4,0,0,41.7,130,121,15.4
"413",32,2021,2,26,"Home","WAS",37,42,"L",9,18,0.5,3,4,0.75,3,3,1,2,9,11,7,1,2,1,3,24,24.2,-2,0.621,0.583,5.8,27.3,16.3,34.9,1.3,4.2,4.9,22.8,139,111,12.8
"414",33,2021,2,26,"Away","OKC",30,7,"W",8,10,0.8,1,2,0.5,2,2,1,1,10,11,13,2,0,0,3,19,28.8,34,0.873,0.85,4.4,31.9,20.4,57.2,3.2,0,0,16.1,195,89,25.5
"415",34,2021,3,26,"Away","CHI",38,25,"W",17,28,0.607,0,3,0,5,5,1,2,12,14,9,1,2,1,4,39,37.3,12,0.646,0.607,6.4,27.3,18.6,45.4,1.3,4.5,3.2,36.2,142,107,17.3
"416",35,2021,3,26,"Away","MIL",36,24,"W",15,23,0.652,2,3,0.667,5,5,1,4,6,10,11,2,0,2,1,37,38.8,18,0.734,0.696,13.9,16.8,15.5,43.7,2.8,0,7.4,32.5,154,101,24.4
"417",36,2021,3,26,"Away","IND",37,0,"W",9,18,0.5,1,2,0.5,1,2,0.5,2,10,12,8,0,0,7,2,20,12.8,-3,0.53,0.528,8.9,28.2,20.8,31.1,0,0,27,32.6,96,108,-4.6
"418",37,2021,3,26,"Away","MEM",36,16,"W",13,22,0.591,1,2,0.5,1,2,0.5,2,13,15,7,2,0,1,1,28,28.2,-3,0.612,0.614,5.8,39.1,22.1,38.9,2.8,0,4.2,29.9,128,101,14.3
"419",38,2021,3,26,"Home","DAL",36,2,"L",10,20,0.5,1,5,0.2,5,6,0.833,2,7,9,11,0,0,4,0,26,22.8,-12,0.574,0.525,5.4,22.7,13.3,61.9,0,0,15,32.9,118,130,11
"420",39,2021,3,26,"Home","IND",34,14,"W",11,25,0.44,2,4,0.5,8,10,0.8,6,8,14,5,4,1,1,2,32,31.1,-9,0.544,0.48,18.3,23.9,21.1,23.7,5.9,2.9,3.3,36.9,132,99,15.6
"421",40,2021,3,26,"Home","CHO",28,37,"W",6,7,0.857,0,0,NA,0,0,NA,2,8,10,10,0,0,3,2,12,16.5,27,0.857,0.857,9.9,28.6,20.7,40,0,0,30,15.1,148,107,7.8
"422",41,2021,3,26,"Home","CHI",42,8,"W",14,23,0.609,2,4,0.5,4,6,0.667,5,10,15,9,2,1,1,4,34,35.6,5,0.663,0.652,15,29.3,22.2,37.3,2.4,2.3,3.8,28.9,147,116,14.8
"423",42,2021,3,26,"Home","NOP",34,37,"L",13,19,0.684,3,4,0.75,0,0,NA,3,7,10,10,1,1,5,3,29,27.6,3,0.763,0.763,10.1,23.7,16.9,53.4,1.4,2.4,20.8,31,130,115,16.7
"424",43,2021,3,26,"Away","ORL",36,15,"W",11,17,0.647,2,4,0.5,4,4,1,4,11,15,10,2,1,3,2,28,32.5,11,0.746,0.706,12.9,30.3,22.3,43.5,2.8,2.5,13.8,27,147,101,19.7
"425",44,2021,3,26,"Away","TOR",29,38,"L",8,14,0.571,0,2,0,4,4,1,4,6,10,5,1,0,4,1,20,18.1,-13,0.635,0.571,12.2,25.6,17.8,28.9,1.7,0,20.2,27.4,118,137,4.3
"426",45,2021,3,26,"Away","NOP",41,7,"W",17,30,0.567,3,5,0.6,0,0,NA,2,4,6,9,2,1,1,3,37,32.2,23,0.617,0.617,5.6,15.1,9.6,38.7,2.6,2.4,3.2,34.8,135,118,15
"427",46,2021,3,26,"Home","ATL",28,13,"W",7,12,0.583,1,2,0.5,1,2,0.5,3,7,10,8,1,2,0,0,16,22.2,20,0.621,0.625,11.6,33.1,21.3,35.7,1.8,8.1,0,20.1,159,102,18.5
"428",47,2021,3,26,"Home","PHI",34,25,"W",8,14,0.571,0,1,0,5,6,0.833,3,7,10,5,0,0,5,1,21,16.3,8,0.631,0.571,11,20.8,16.4,25,0,0,23.1,27.8,110,106,1
"429",48,2021,4,26,"Away","LAC",35,50,"W",6,16,0.375,2,3,0.667,0,0,NA,1,6,7,7,0,1,4,3,14,8.1,13,0.438,0.438,3.4,18.3,11.3,30.3,0,2.6,20,26.7,87,108,-2.4
"430",49,2021,4,26,"Home","ORL",37,42,"W",5,11,0.455,0,1,0,7,9,0.778,2,7,9,16,1,0,4,4,17,20.6,15,0.568,0.455,5.7,19.8,12.7,55.6,1.3,0,21.1,20.9,129,115,8.4
"431",50,2021,4,26,"Home","DET",26,46,"W",13,16,0.813,0,0,NA,1,2,0.5,2,6,8,11,1,1,1,3,27,31,9,0.8,0.813,10,28.3,19.4,60.3,1.9,3.9,5.6,29.7,171,122,23.9
"432",51,2021,4,26,"Home","SAS",30,27,"W",11,18,0.611,0,2,0,3,4,0.75,1,8,9,10,1,0,6,0,25,21.5,5,0.633,0.611,3.7,24.3,14.9,69.6,1.5,0,23.3,34.3,109,94,12.8
"433",52,2021,4,26,"Home","SAS",38,22,"W",9,17,0.529,2,2,1,6,6,1,5,8,13,14,1,0,6,4,26,26.8,7,0.662,0.588,17.4,20.9,19.4,55.2,1.3,0,23.4,29.9,131,119,9
"434",53,2021,4,26,"Home","BOS",31,30,"L",6,15,0.4,0,2,0,5,7,0.714,2,8,10,11,1,1,2,3,17,18.1,9,0.47,0.4,5.5,28.3,15.5,73.3,1.7,2.8,10,29.2,109,109,13.6
"435",54,2021,4,26,"Away","GSW",37,17,"L",10,21,0.476,1,5,0.2,6,8,0.75,4,8,12,8,1,1,4,1,27,23.6,-14,0.551,0.5,12.3,29.4,20.1,39.4,1.3,3.5,14,32.5,113,115,8.7
"436",55,2021,4,26,"Home","MIA",32,2,"W",6,14,0.429,1,2,0.5,4,5,0.8,4,6,10,11,1,2,2,3,17,20.7,7,0.525,0.464,16.2,25,20.5,42.3,1.7,6.4,11,26,135,113,10.5
"437",56,2021,4,26,"Away","HOU",27,5,"W",10,12,0.833,1,1,1,8,9,0.889,6,10,16,7,2,0,0,3,29,37.1,9,0.909,0.875,23.6,40.3,31.9,43.9,3.7,0,0,24.3,199,95,34.3
"438",57,2021,4,26,"Home","MEM",45,4,"W",20,31,0.645,2,6,0.333,5,6,0.833,7,8,15,8,0,1,7,3,47,38.3,3,0.699,0.677,18,18.7,18.4,40.8,0,1.9,17.2,38.1,127,115,11
"439",58,2021,4,26,"Away","POR",35,38,"W",9,18,0.5,1,6,0.167,6,7,0.857,4,5,9,5,0,1,4,0,25,20.1,3,0.593,0.528,11.2,17.3,13.9,25.1,0,2.6,15.9,31.1,118,118,5.1
"440",59,2021,4,26,"Away","GSW",33,24,"L",7,16,0.438,0,3,0,5,5,1,0,6,6,6,0,0,1,2,19,14.8,-18,0.522,0.438,0,23.3,9.8,36,0,0,5.2,26.1,109,126,-0.2
"441",60,2021,4,26,"Home","HOU",29,1,"W",10,14,0.714,0,0,NA,4,6,0.667,0,8,8,12,1,1,4,4,24,24.3,10,0.721,0.714,0,32.3,18.6,59.3,1.6,3.9,19.4,32.5,133,111,9.8
"442",61,2021,4,26,"Home","MEM",29,40,"W",6,12,0.5,2,3,0.667,10,10,1,1,14,15,5,2,0,6,3,24,21.2,11,0.732,0.583,3.4,49.2,26.1,22.9,3.1,0,26.8,31.6,115,85,10.1
"443",62,2021,4,26,"Home","NOP",36,29,"W",12,20,0.6,2,4,0.5,6,8,0.75,0,7,7,8,3,3,6,1,32,28.4,7,0.68,0.65,0,22.5,11.5,38.7,3.6,6.9,20.3,34.3,112,97,12.4
"444",63,2021,4,26,"Home","TOR",28,26,"W",8,13,0.615,2,3,0.667,1,1,1,4,7,11,2,1,0,1,1,19,19,-4,0.707,0.692,15.7,29.5,22.4,11.1,1.7,0,6.9,21.1,148,113,8.8
"445",64,2021,5,26,"Away","LAC",33,22,"W",9,17,0.529,2,6,0.333,10,10,1,2,12,14,7,0,1,0,4,30,30.7,-3,0.701,0.588,7.8,37.5,24.3,38.7,0,2.9,0,31,159,111,20.3
"446",65,2021,5,26,"Away","LAL",35,36,"L",12,28,0.429,1,4,0.25,7,8,0.875,3,6,9,5,2,1,2,4,32,23.3,3,0.508,0.446,9.6,19.3,14.4,34,2.9,3.1,6,44.7,104,96,11.5
"447",66,2021,5,26,"Home","NYK",29,7,"W",10,16,0.625,0,2,0,12,15,0.8,3,9,12,6,2,2,4,3,32,30.8,15,0.708,0.625,9.3,28.5,18.8,48.2,3.2,6.5,15,35.2,133,87,21.8
