"","g","year","month","age","location","opp","minutes","seconds","result","fg","fga","fg_percent","three_pts","three_pa","three_pts_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","gm_sc","pm","ts_percent","efg_percent","orb_percent","drb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","ortg","drtg","bpm"
"242",14,2018,11,23,"Home","HOU",32,59,"L",6,14,0.429,0,1,0,2,3,0.667,4,8,12,7,2,0,3,3,14,14.1,-14,0.457,0.429,17.6,38.8,27.7,34.8,3.3,0,16.4,26.9,105,118,1.4
"243",15,2018,11,23,"Home","ATL",25,22,"W",5,11,0.455,1,2,0.5,1,2,0.5,1,8,9,7,4,1,2,3,12,15.4,37,0.505,0.5,4.9,25.2,17.2,30.4,7.1,3.8,14.4,21.9,114,71,10.2
"244",16,2018,11,23,"Away","NOP",34,5,"L",10,20,0.5,2,8,0.25,3,4,0.75,3,7,10,8,1,0,1,2,25,23.6,-11,0.574,0.55,9.2,22.9,15.8,35.3,1.4,0,4.4,28.2,130,123,9.8
"245",17,2018,11,23,"Away","MIL",32,34,"L",8,18,0.444,3,8,0.375,1,1,1,3,2,5,5,1,0,3,1,20,14.4,-16,0.542,0.528,8.7,6.9,7.8,26.1,1.5,0,14,27.5,105,110,7.4
"246",18,2018,11,23,"Away","MIN",36,42,"W",3,13,0.231,1,5,0.2,0,0,NA,2,10,12,10,1,0,3,4,7,6.9,4,0.269,0.269,6.4,33.5,19.6,34.3,1.4,0,18.8,20,84,106,-4.6
"247",19,2018,11,23,"Home","ORL",22,52,"W",2,7,0.286,0,3,0,2,2,1,3,7,10,11,2,0,0,4,6,14.2,7,0.381,0.286,14,34.2,23.9,58,4.4,0,0,14.8,139,86,16
"248",20,2018,11,23,"Away","OKC",27,11,"W",6,20,0.3,0,7,0,4,5,0.8,2,4,6,5,0,1,4,4,16,5.2,15,0.36,0.3,7.1,12.2,9.8,31.1,0,2.8,15.3,38.7,79,102,-6.3
"249",21,2018,11,23,"Home","LAL",22,36,"W",5,14,0.357,2,4,0.5,2,2,1,0,7,7,7,1,1,3,1,14,11.5,14,0.47,0.429,0,28.6,15,40.9,2.2,4.1,16.8,33.1,101,82,10.1
"250",22,2018,11,23,"Away","POR",32,3,"W",7,12,0.583,0,2,0,1,1,1,3,3,6,7,1,1,1,3,15,16.8,2,0.603,0.583,10,11.2,10.6,35.5,1.6,2.4,7.4,18.4,139,120,6.9
"251",23,2018,12,23,"Away","TOR",35,30,"W",8,13,0.615,0,1,0,7,8,0.875,4,7,11,15,2,0,2,1,23,31.7,14,0.696,0.615,11,23.1,16.5,69.5,2.7,0,10.8,20.9,154,100,23.5
"252",24,2018,12,23,"Away","ORL",34,38,"W",5,13,0.385,1,3,0.333,1,2,0.5,0,8,8,13,1,0,1,3,12,14.8,10,0.432,0.423,0,27.2,14.8,53.3,1.5,0,6.7,21,114,115,6.1
"253",25,2018,12,23,"Away","CHO",33,22,"L",6,18,0.333,0,6,0,4,5,0.8,4,7,11,6,1,2,4,5,16,10.9,8,0.396,0.333,10.5,21,15.4,28.4,1.5,5.6,16.5,28.7,90,115,-2.2
"254",26,2018,12,23,"Away","ATL",32,38,"L",9,17,0.529,0,2,0,6,7,0.857,4,7,11,7,2,0,1,1,24,25.7,-6,0.598,0.529,11.1,22.4,16.3,45.2,2.8,0,4.7,25.6,129,98,14.1
"255",27,2018,12,23,"Home","MEM",38,24,"W",9,14,0.643,1,2,0.5,8,9,0.889,3,9,12,6,2,0,3,3,27,27.2,6,0.752,0.679,9.6,32.1,20.3,27,2.8,0,14.3,26.2,144,112,11.8
"256",28,2018,12,23,"Home","OKC",35,45,"W",8,16,0.5,2,4,0.5,6,6,1,3,12,15,9,3,0,6,3,24,23.8,10,0.644,0.563,11.2,29.3,22.1,38.7,4.3,0,24.4,30.2,118,90,11.7
"257",29,2018,12,23,"Home","TOR",34,34,"W",11,19,0.579,0,1,0,4,5,0.8,4,6,10,4,2,0,3,0,26,23.1,1,0.613,0.579,11.6,17.7,14.6,26.8,3.1,0,12.4,33.6,118,94,12.1
"258",30,2018,12,23,"Home","DAL",34,57,"W",13,25,0.52,2,6,0.333,4,4,1,6,10,16,4,3,1,5,4,32,26.8,15,0.598,0.56,21.1,33.5,27.5,17.1,4.2,2.8,15.7,38.6,116,109,6
"259",31,2018,12,23,"Away","LAC",20,37,"L",7,15,0.467,2,2,1,3,3,1,2,4,6,3,0,1,4,2,19,11.9,-16,0.582,0.533,8.3,25.2,15,28.3,0,3.2,19.7,40.4,101,132,2.6
"260",32,2018,12,23,"Away","SAS",30,59,"L",1,5,0.2,1,1,1,1,2,0.5,2,2,4,10,2,0,5,1,4,6.1,-9,0.34,0.3,5.7,7.2,6.4,46.3,3.1,0,46,15,84,112,-2.8
"261",33,2018,12,23,"Home","SAS",36,56,"W",10,14,0.714,1,4,0.25,0,0,NA,0,9,9,9,0,0,6,6,21,15.8,3,0.75,0.75,0,24.4,13,45,0,0,30,23.1,112,105,5
"262",34,2018,12,23,"Away","PHO",37,40,"W",8,11,0.727,0,2,0,7,8,0.875,1,7,8,9,3,1,4,3,23,25.7,12,0.792,0.727,3.6,21.2,13.2,36.1,3.9,2.1,21.6,21.8,144,115,9.2
"263",35,2019,1,23,"Home","NYK",34,29,"W",8,16,0.5,1,2,0.5,2,3,0.667,6,8,14,15,1,3,5,3,19,24.6,6,0.548,0.531,19,21.4,20.3,63.5,1.5,6.3,22.4,27.5,121,110,14.2
"264",36,2019,1,23,"Away","SAC",31,35,"W",10,18,0.556,3,8,0.375,3,4,0.75,3,10,13,6,1,1,5,1,26,22.6,12,0.658,0.639,10.9,33.8,22.7,35.3,1.6,2.6,20.2,32.4,121,111,12.5
